Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,50.250000,53.599998,49.590000,51.689999,51.689999,1365700
2021-12-09,51.200001,52.180000,50.270000,50.349998,50.349998,785700
2021-12-10,50.290001,51.980000,49.400002,50.299999,50.299999,1421400
2021-12-13,50.000000,50.990002,47.139999,48.439999,48.439999,1292800
2021-12-14,47.169998,50.259998,47.034000,49.689999,49.689999,1111400
2021-12-15,47.459999,49.119999,45.020000,48.639999,48.639999,2158600
2021-12-16,49.310001,52.430000,45.939999,47.209999,47.209999,1363200
2021-12-17,45.599998,48.615002,43.549999,48.040001,48.040001,3032300
2021-12-20,47.000000,48.469002,46.200001,48.200001,48.200001,788500
2021-12-21,49.770000,50.700001,48.049999,49.139999,49.139999,1116000
2021-12-22,49.430000,49.779999,47.250000,49.130001,49.130001,632800
2021-12-23,49.480000,54.290001,48.900002,52.849998,52.849998,1571000
2021-12-27,53.200001,55.480000,51.500000,53.669998,53.669998,1060600
2021-12-28,53.250000,55.240002,50.200001,50.439999,50.439999,1245500
2021-12-29,50.599998,52.459999,49.049999,52.240002,52.240002,747400
2021-12-30,52.220001,54.799999,52.049999,52.139999,52.139999,887200
2021-12-31,52.150002,52.660000,50.680000,50.910000,50.910000,527000
2022-01-03,51.470001,52.990002,49.250000,52.419998,52.419998,639400
2022-01-04,52.799999,53.799999,49.340000,50.919998,50.919998,956000
2022-01-05,50.509998,50.930000,45.824001,46.450001,46.450001,1836900
2022-01-06,46.049999,47.659000,44.750000,46.630001,46.630001,1174400
2022-01-07,46.750000,47.990002,45.020000,46.470001,46.470001,806800
2022-01-10,45.700001,47.939999,42.380001,47.810001,47.810001,2281500
2022-01-11,48.320000,50.910000,46.784000,50.209999,50.209999,3868900
2022-01-12,50.500000,50.669998,45.919998,45.990002,45.990002,2930000
2022-01-13,46.970001,47.000000,44.389999,45.880001,45.880001,2054700
2022-01-14,45.669998,46.700001,44.110001,45.169998,45.169998,1841200
2022-01-18,44.439999,46.459999,42.889999,43.869999,43.869999,2068700
2022-01-19,43.560001,44.594002,40.139999,41.570000,41.570000,3562600
2022-01-20,42.099998,44.750000,41.849998,42.000000,42.000000,1852800
2022-01-21,41.360001,43.540001,40.049999,41.310001,41.310001,1772000
2022-01-24,40.000000,45.520000,38.110001,45.509998,45.509998,2989300
2022-01-25,45.630001,49.980000,43.560001,48.910000,48.910000,3728300
2022-01-26,49.919998,52.119999,47.560001,48.849998,48.849998,2117100
2022-01-27,49.000000,50.509998,47.029999,47.990002,47.990002,1415800
2022-01-28,47.500000,49.560001,45.590000,47.520000,47.520000,1717800
2022-01-31,47.740002,52.480000,47.509998,52.150002,52.150002,2304000
2022-02-01,52.020000,59.709999,51.299999,58.410000,58.410000,5480000
2022-02-02,56.919998,59.368000,54.509998,56.290001,56.290001,2409500
2022-02-03,54.500000,58.900002,53.090000,54.750000,54.750000,1827000
2022-02-04,55.700001,57.990002,54.250000,57.740002,57.740002,1995400
2022-02-07,58.599998,63.200001,55.290001,56.349998,56.349998,4429200
2022-02-08,56.810001,58.919998,54.060001,58.500000,58.500000,1822400
2022-02-09,59.930000,60.000000,56.209999,58.639999,58.639999,1778600
2022-02-10,57.290001,60.279999,54.330002,56.049999,56.049999,2432300
2022-02-11,56.000000,56.500000,50.860001,51.790001,51.790001,2517900
2022-02-14,51.500000,53.650002,50.450001,51.279999,51.279999,1148000
2022-02-15,52.480000,53.689999,51.610001,53.520000,53.520000,959100
2022-02-16,53.500000,55.349998,52.112000,53.660000,53.660000,1112200
2022-02-17,52.939999,53.889999,50.020000,50.020000,50.020000,869300
2022-02-18,50.799999,51.869999,48.770000,50.660000,50.660000,1043300
2022-02-22,49.000000,52.270000,48.009998,48.160000,48.160000,1021500
2022-02-23,49.009998,49.720001,44.549999,44.990002,44.990002,2187800
2022-02-24,43.200001,48.730000,42.840000,48.720001,48.720001,1669700
2022-02-25,48.529999,48.529999,45.779999,47.250000,47.250000,1128700
2022-02-28,47.000000,49.250000,46.240002,48.209999,48.209999,1325500
2022-03-01,49.110001,49.397999,46.180000,47.520000,47.520000,3063900
2022-03-02,46.099998,46.810001,44.009998,44.220001,44.220001,2953100
2022-03-03,44.900002,47.869999,43.349998,45.889999,45.889999,3783200
2022-03-04,45.990002,51.040001,45.320000,49.369999,49.369999,2930400
2022-03-07,48.950001,49.040001,44.900002,45.110001,45.110001,1802500
2022-03-08,45.340000,48.980000,43.500000,47.480000,47.480000,1714700
2022-03-09,48.400002,52.299999,48.040001,50.810001,50.810001,2090300
2022-03-10,49.500000,53.380001,48.340000,52.970001,52.970001,1408700
2022-03-11,51.590000,52.009998,47.810001,48.799999,48.799999,3101200
2022-03-14,47.799999,49.750000,46.500000,48.279999,48.279999,1575000
2022-03-15,47.250000,50.139999,47.000000,49.410000,49.410000,1303700
2022-03-16,50.540001,52.200001,49.310001,51.580002,51.580002,1688300
2022-03-17,51.490002,57.490002,50.799999,57.259998,57.259998,3035600
2022-03-18,56.849998,60.000000,56.300999,58.540001,58.540001,2922800
2022-03-21,58.180000,59.380001,56.799999,58.900002,58.900002,1387700
2022-03-22,59.130001,62.009998,59.130001,59.369999,59.369999,2270000
2022-03-23,59.160000,59.240002,55.040001,56.900002,56.900002,1532500
2022-03-24,57.070000,59.189999,56.450001,57.770000,57.770000,1037900
2022-03-25,58.000000,58.380001,53.709999,54.919998,54.919998,1438000
2022-03-28,55.110001,57.049999,53.570000,55.849998,55.849998,1170500
2022-03-29,56.689999,64.930000,56.080002,62.770000,62.770000,4884100
2022-03-30,63.000000,66.000000,61.270000,61.919998,61.919998,4269900
2022-03-31,62.500000,63.544998,55.130001,55.270000,55.270000,3932800
2022-04-01,56.430000,57.750000,54.500000,56.830002,56.830002,2402200
2022-04-04,56.799999,58.694000,54.750000,57.650002,57.650002,1830700
2022-04-05,57.520000,57.740002,52.660000,53.509998,53.509998,2507400
2022-04-06,52.000000,52.950001,50.500000,52.150002,52.150002,1940800
2022-04-07,52.169998,52.950001,49.279999,52.040001,52.040001,1616200
2022-04-08,51.610001,51.849998,49.750000,50.570000,50.570000,956800
2022-04-11,49.099998,52.480000,49.000000,52.310001,52.310001,1043400
2022-04-12,52.540001,54.500000,51.099998,51.160000,51.160000,1729700
2022-04-13,51.509998,53.240002,50.349998,52.119999,52.119999,1806000
2022-04-14,52.209999,53.382999,51.750000,52.990002,52.990002,802200
2022-04-18,53.000000,53.759998,51.009998,53.720001,53.720001,692600
2022-04-19,53.500000,57.099998,53.099998,55.549999,55.549999,1589400
2022-04-20,55.630001,56.178001,54.099998,54.299999,54.299999,789800
2022-04-21,54.880001,55.889999,52.029999,52.070000,52.070000,949200
2022-04-22,52.439999,52.880001,50.189999,51.189999,51.189999,689200
2022-04-25,50.799999,53.209000,50.049999,52.779999,52.779999,603100
2022-04-26,52.400002,52.604000,45.825001,46.889999,46.889999,2606000
2022-04-27,47.610001,48.770000,46.500000,47.000000,47.000000,1175700
2022-04-28,48.049999,49.150002,46.000000,48.139999,48.139999,1239300
2022-04-29,47.820000,49.990002,47.389999,47.770000,47.770000,581600
2022-05-02,47.799999,49.360001,46.435001,49.250000,49.250000,877800
2022-05-03,49.380001,49.400002,47.110001,47.380001,47.380001,851400
2022-05-04,48.299999,49.330002,45.610001,49.160000,49.160000,1173600
2022-05-05,48.130001,49.279999,45.220001,45.740002,45.740002,1328500
2022-05-06,45.020000,47.299999,43.599998,45.560001,45.560001,1643600
2022-05-09,44.720001,44.720001,41.080002,41.080002,41.080002,2604200
2022-05-10,42.200001,42.720001,39.250000,40.799999,40.799999,1972700
2022-05-11,40.000000,40.480000,34.070000,34.369999,34.369999,7713100
2022-05-12,22.740000,26.070000,20.049999,25.110001,25.110001,24331100
2022-05-13,26.549999,28.299999,25.950001,27.000000,27.000000,5340000
2022-05-16,27.500000,27.830000,25.010000,25.500000,25.500000,2530200
2022-05-17,26.610001,27.049999,24.730000,26.400000,26.400000,2674200
2022-05-18,26.020000,27.139999,24.809999,25.610001,25.610001,1972000
2022-05-19,26.420000,28.333000,26.080000,26.990000,26.990000,2655600
2022-05-20,27.549999,28.030001,26.110001,27.750000,27.750000,1786700
2022-05-23,28.350000,31.969999,28.030001,31.830000,31.830000,2704400
2022-05-24,31.295000,31.295000,28.510000,30.240000,30.240000,1358800
2022-05-25,30.389999,31.169001,29.811001,30.799999,30.799999,1104000
2022-05-26,31.090000,37.980999,30.950001,35.720001,35.720001,3251400
2022-05-27,35.750000,39.990002,35.750000,37.360001,37.360001,2109100
2022-05-31,37.500000,38.736000,36.360001,37.549999,37.549999,1584900
2022-06-01,37.470001,39.939999,36.022999,39.849998,39.849998,1454900
2022-06-02,39.490002,42.429001,39.196999,39.980000,39.980000,1560000
2022-06-03,39.660000,41.959999,38.349998,41.709999,41.709999,1027200
2022-06-06,42.380001,43.490002,41.310001,41.700001,41.700001,1170900
2022-06-07,41.200001,42.660000,40.060001,40.259998,40.259998,1233000
2022-06-08,38.330002,39.646999,37.119999,39.250000,39.250000,1747100
2022-06-09,38.320000,40.590000,37.611000,39.160000,39.160000,1177700
2022-06-10,37.700001,37.950001,34.130001,34.400002,34.400002,1650400
2022-06-13,32.779999,33.840000,30.280001,33.110001,33.110001,1747100
2022-06-14,33.150002,34.324001,32.380001,33.410000,33.410000,1094700
2022-06-15,33.950001,35.689999,32.650002,34.169998,34.169998,1501400
2022-06-16,32.369999,34.149899,30.780001,33.605000,33.605000,1591084
